system,trial_id,domain,is_negation,probe_logic,question,expected,actual,is_correct
zep,STAGGERED_001,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_001,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_002,Social,True,Update_Success,When is my actual birthday?,Sunday,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_002,Social,True,Locality_Integrity,When is the big party happening?,Friday night,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_003,Coding,False,Update_Success,Which port is the API service using?,8080,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_003,Coding,False,Locality_Integrity,Where is the database located?,5432,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_004,Education,True,Update_Success,Where do I need to go for my math test?,Library,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_004,Education,True,Locality_Integrity,When is the history paper due?,Tomorrow at midnight,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_005,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_005,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_006,Sports,False,Update_Success,What time should my friends arrive for the game?,7:00 PM,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_006,Sports,False,Locality_Integrity,When is my gym session?,8:00 AM,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_007,Cooking,True,Update_Success,What temperature should I set the oven to?,350 degrees,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_007,Cooking,True,Locality_Integrity,How long will I be chopping vegetables?,20 minutes,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_008,Academic,False,Update_Success,What was the final percentage increase in the study?,12% increase,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_008,Academic,False,Locality_Integrity,How did the control group turn out?,Zero change,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_009,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_009,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_010,Legal,False,Update_Success,What is the expiration date on the lease?,October 12th,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_010,Legal,False,Locality_Integrity,When did the NDA signing take place?,January 5th,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_011,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_011,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_012,Astronomy,False,Update_Success,Which planet holds the record for highest surface temperature?,Venus,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_012,Astronomy,False,Locality_Integrity,How many moons are orbiting the red planet?,Two moons,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_013,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_013,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_014,IT Support,True,Update_Success,What is the current status of the main web server?,Online/Running,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_014,IT Support,True,Locality_Integrity,Is the backup database still okay?,Online/Running,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_015,Logistics,True,Update_Success,When do I actually need to be home for the desk delivery?,Wednesday,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_015,Logistics,True,Locality_Integrity,What is the ETA for the chair?,Friday,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_016,Social,True,Update_Success,When is my actual birthday?,Sunday,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
zep,STAGGERED_016,Social,True,Locality_Integrity,When is the big party happening?,Friday night,Error: MemoryClient.search_sessions() got an unexpected keyword argument 'session_id',False
